M- 278
Integration time: 3000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
892,73;102,00
893,28;7,0000
893,83;67,000
894,38;20,000
894,93;37,000
895,48;76,000
896,03;63,000
896,59;59,000
897,14;97,000
897,69;26,000
898,24;-10,0000
898,79;52,000
899,34;102,00
899,89;130,00
900,44;30,000
900,99;-45,000
901,53;33,000
902,08;97,000
902,63;142,00
903,18;38,000
903,73;8,0000
904,28;60,000
904,83;96,000
905,38;154,00
905,93;96,000
906,48;155,00
907,03;67,000
907,58;100,000
908,13;131,00
908,68;79,000
909,23;68,000
909,78;74,000
910,32;124,00
910,87;119,00
911,42;13,000
911,97;1,0000
912,52;146,00
913,07;83,000
913,62;127,00
914,17;18,000
914,71;115,00
915,26;44,000
915,81;-47,000
916,36;106,00
916,91;6,0000
917,46;20,000
918,00;69,000
918,55;55,000
919,10;90,000
919,65;107,00
920,20;7,0000
920,74;-36,000
921,29;-26,000
921,84;-13,000
922,39;63,000
922,94;2,0000
923,48;-12,000
924,03;41,000
924,58;32,000
925,13;49,000
925,67;44,000
926,22;55,000
926,77;41,000
927,32;53,000
927,86;105,00
928,41;107,00
928,96;93,000
929,50;66,000
930,05;24,000
930,60;58,000
931,15;74,000
931,69;142,00
932,24;32,000
932,79;19,000
933,33;64,000
933,88;24,000
934,43;12,000
934,97;13,000
935,52;90,000
936,07;46,000
936,61;15,000
937,16;10,0000
937,71;64,000
938,25;70,000
938,80;93,000
939,34;83,000
939,89;47,000
940,44;209,00
940,98;89,000
941,53;110,00
942,07;123,00
942,62;173,00
943,17;59,000
943,71;104,00
944,26;27,000
944,80;86,000
945,35;93,000
945,89;17,000
946,44;87,000
946,99;8,0000
947,53;36,000
948,08;56,000
948,62;27,000
949,17;119,00
949,71;84,000
950,26;100,000
950,80;1,0000
951,35;27,000
951,89;27,000
952,44;47,000
952,98;11,000
953,53;156,00
954,07;54,000
954,62;7,0000
955,16;10,0000
955,71;40,000
956,25;86,000
956,79;59,000
957,34;46,000
957,88;93,000
958,43;-18,000
958,97;34,000
959,52;0
960,06;42,000
960,60;65,000
961,15;-10,0000
961,69;42,000
962,24;101,00
962,78;45,000
963,32;100,000
963,87;80,000
964,41;44,000
964,96;27,000
965,50;-23,000
966,04;-22,000
966,59;47,000
967,13;5,0000
967,67;96,000
968,22;55,000
968,76;63,000
969,30;-9,0000
969,85;83,000
970,39;48,000
970,93;8,0000
971,47;81,000
972,02;-41,000
972,56;55,000
973,10;14,000
973,65;18,000
974,19;70,000
974,73;24,000
975,27;28,000
975,82;40,000
976,36;49,000
976,90;87,000
977,44;-4,0000
977,99;-15,000
978,53;135,00
979,07;66,000
979,61;12,000
980,16;-47,000
980,70;41,000
981,24;128,00
981,78;27,000
982,32;32,000
982,87;162,00
983,41;76,000
983,95;113,00
984,49;29,000
985,03;96,000
985,57;-10,0000
986,12;8,0000
986,66;96,000
987,20;19,000
987,74;80,000
988,28;83,000
988,82;169,00
989,36;95,000
989,91;121,00
990,45;55,000
990,99;-1,0000
991,53;76,000
992,07;43,000
992,61;99,000
993,15;-7,0000
993,69;40,000
994,23;85,000
994,77;54,000
995,31;79,000
995,86;72,000
996,40;20,000
996,94;45,000
997,48;86,000
998,02;77,000
998,56;93,000
999,10;58,000
999,64;95,000
1000,18;20,000
1000,72;67,000
1001,26;87,000
1001,80;28,000
1002,34;50,000
1002,88;-8,0000
1003,42;16,000
1003,96;95,000
1004,50;62,000
1005,04;85,000
1005,58;12,000
1006,12;80,000
1006,66;25,000
1007,20;-62,000
1007,73;23,000
1008,27;37,000
1008,81;6,0000
1009,35;-35,000
1009,89;11,000
1010,43;112,00
1010,97;33,000
1011,51;147,00
1012,05;31,000
1012,59;124,00
1013,13;104,00
1013,66;126,00
1014,20;82,000
1014,74;-4,0000
1015,28;60,000
1015,82;105,00
1016,36;90,000
1016,90;43,000
1017,43;80,000
1017,97;-5,0000
1018,51;4,0000
1019,05;19,000
1019,59;19,000
1020,13;111,00
1020,66;35,000
1021,20;108,00
1021,74;120,00
1022,28;80,000
1022,81;72,000
1023,35;63,000
1023,89;86,000
1024,43;45,000
1024,97;40,000
1025,50;92,000
1026,04;-1,0000
1026,58;46,000
1027,12;81,000
1027,65;-3,0000
1028,19;77,000
1028,73;-11,000
1029,26;30,000
1029,80;5,0000
1030,34;-47,000
1030,88;104,00
1031,41;99,000
1031,95;67,000
1032,49;42,000
1033,02;52,000
1033,56;83,000
1034,10;10,0000
1034,63;37,000
1035,17;16,000
1035,71;99,000
1036,24;16,000
1036,78;62,000
1037,32;48,000
1037,85;12,000
1038,39;31,000
1038,92;-31,000
1039,46;-39,000
1040,00;31,000
1040,53;42,000
1041,07;129,00
1041,60;121,00
1042,14;34,000
1042,68;43,000
1043,21;13,000
1043,75;60,000
1044,28;52,000
1044,82;112,00
1045,35;47,000
1045,89;65,000
1046,42;33,000
1046,96;16,000
1047,49;46,000
1048,03;60,000
1048,57;32,000
1049,10;73,000
1049,64;-12,000
1050,17;58,000
1050,70;52,000
1051,24;-9,0000
1051,77;78,000
1052,31;69,000
1052,84;154,00
1053,38;15,000
1053,91;86,000
1054,45;-7,0000
1054,98;-2,0000
1055,52;6,0000
1056,05;94,000
1056,59;19,000
1057,12;32,000
1057,65;40,000
1058,19;108,00
1058,72;153,00
1059,26;83,000
1059,79;-31,000
1060,32;16,000
1060,86;61,000
1061,39;52,000
1061,93;-5,0000
1062,46;115,00
1062,99;-22,000
1063,53;15,000
1064,06;120,00
1064,59;26,000
1065,13;74,000
1065,66;10,0000
1066,19;13,000
1066,73;71,000
1067,26;-9,0000
1067,79;83,000
1068,33;98,000
1068,86;90,000
1069,39;112,00
1069,92;101,00
1070,46;123,00
1070,99;35,000
1071,52;5,0000
1072,05;23,000
1072,59;48,000
1073,12;-27,000
1073,65;124,00
1074,18;93,000
1074,72;71,000
1075,25;-11,000
1075,78;36,000
1076,31;-12,000
1076,85;-13,000
1077,38;15,000
1077,91;1,0000
1078,44;114,00
1078,97;11,000
1079,51;46,000
1080,04;16,000
1080,57;94,000
1081,10;31,000
1081,63;39,000
1082,16;16,000
1082,70;-18,000
1083,23;92,000
1083,76;131,00
1084,29;24,000
1084,82;-16,000
1085,35;47,000
1085,88;58,000
1086,41;64,000
1086,94;96,000
1087,48;43,000
1088,01;36,000
1088,54;76,000
1089,07;6,0000
1089,60;41,000
1090,13;-54,000
